BE	Start	Ende	Durchlaufzeit	Anteil_Produktion	Anteil_Liegezeit	Liefertermin	Termintreue	Difference Reward	DebugStammdaten	Reward
Auftrag_Typ_3:2	01.10.2020 00:01:07.8233	01.10.2020 00:21:36.4893	20:28.6660	0.16	0.84	01.10.2020 00:34:11.1566	61.95			1
Auftrag_Typ_3:3	01.10.2020 00:01:07.8864	01.10.2020 00:08:51.6873	7:43.8009	0.63	0.37	01.10.2020 00:34:11.2197	23.38			1
Auftrag_Typ_4:1	01.10.2020 00:01:08.1872	01.10.2020 00:15:07.8872	13:59.7000	0.50	0.50	01.10.2020 00:54:14.5206	26.35			1
Auftrag_Typ_5:1	01.10.2020 00:01:08.3744	01.10.2020 01:48:03.6692	1:46:55.2948	0.31	0.69	01.10.2020 01:36:46.7077	111.80			-3
Auftrag_Typ_2:2	01.10.2020 00:01:08.6025	01.10.2020 00:25:32.3212	24:23.7187	0.06	0.94	01.10.2020 00:37:35.2692	66.94			1
Auftrag_Typ_1:6	01.10.2020 00:01:09.4774	01.10.2020 02:52:31.9870	2:51:22.5096	0.04	0.96	01.10.2020 00:33:42.8108	526.41			-5
Auftrag_Typ_5:2	01.10.2020 00:01:09.8593	01.10.2020 02:17:43.8371	2:16:33.9779	0.34	0.66	01.10.2020 01:36:48.1926	142.79			-3
Auftrag_Typ_6:1	01.10.2020 00:01:11.1873	01.10.2020 00:11:11.7642	10:00.5769	0.93	0.07	01.10.2020 01:59:44.5206	8.44			1
Auftrag_Typ_3:4	01.10.2020 00:01:11.7573	01.10.2020 00:19:52.4872	18:40.7299	0.28	0.72	01.10.2020 00:34:15.0907	56.51			1
Auftrag_Typ_5:3	01.10.2020 00:01:12.0483	01.10.2020 00:50:09.0744	48:57.0261	0.55	0.45	01.10.2020 01:36:50.3816	51.18			1
Auftrag_Typ_1:7	01.10.2020 00:01:12.6696	01.10.2020 01:02:02.8292	1:00:50.1596	0.10	0.90	01.10.2020 00:33:46.0030	186.87			-5
Auftrag_Typ_6:2	01.10.2020 00:01:14.0311	01.10.2020 00:08:54.2871	7:40.2560	0.93	0.07	01.10.2020 01:59:47.3644	6.47			1
Auftrag_Typ_1:8	01.10.2020 00:01:14.8398	01.10.2020 00:18:06.3914	16:51.5516	0.25	0.75	01.10.2020 00:33:48.1731	51.79			1
Auftrag_Typ_1:9	01.10.2020 00:01:15.3186	01.10.2020 00:38:09.3411	36:54.0225	0.16	0.84	01.10.2020 00:33:48.6520	113.35			-3
Auftrag_Typ_1:10	01.10.2020 00:01:16.7937	01.10.2020 00:27:07.4312	25:50.6374	0.07	0.93	01.10.2020 00:33:50.1271	79.38			1
Auftrag_Typ_5:4	01.10.2020 00:01:18.0320	01.10.2020 02:48:39.1870	2:47:21.1551	0.25	0.75	01.10.2020 01:36:56.3653	174.98			-4
Auftrag_Typ_2:3	01.10.2020 00:01:20.8108	01.10.2020 03:00:57.0670	2:59:36.2562	0.02	0.98	01.10.2020 00:37:47.4774	492.82			-5
