Herkunft\Ziel	Drehen_1	Drehen_2	Drehen_3	Drehen_4	Drehen_5	Drehen_6	Fräsen_1	Fräsen_2	Fräsen_3	Fräsen_4	Fräsen_5	Fräsen_6	Verpackung_1	Verpackung_2	Verpackung_3	Verpackung_4	Verpackung_5	Verpackung_6	Schleifen_1	Schleifen_2	Schleifen_3	Schleifen_4	Schleifen_5	Schleifen_6	Lackieren_1	Lackieren_2	Lackieren_3	Lackieren_4	Lackieren_5	Lackieren_6
Quelle	3	5	8	5	2	5	3	2	7	7	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drehen_1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1
Drehen_2	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
Drehen_3	0	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	0	2	1	1
Drehen_4	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	2	0
Drehen_5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Drehen_6	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Fräsen_1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0
Fräsen_2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0
Fräsen_3	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
Fräsen_4	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	1	0	0
Fräsen_5	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0
Fräsen_6	0	1	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
Verpackung_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verpackung_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
