Episode	Mittlere_Durchlaufzeit	Produktionsdauer	Relative_Durchlaufzeit	Termintreue
Episode183	0.0000	1:41:11.9804	79.93	79.20
Episode184	0.0000	1:25:34.2951	72.26	71.27
Episode185	0.0000	2:23:24.7388	79.00	78.43
Episode186	0.0000	1:24:59.8451	63.97	62.60
Episode187	0.0000	2:37:35.7635	65.56	64.30
Episode188	0.0000	1:19:27.4997	82.36	81.99
Episode189	0.0000	1:30:20.1980	96.97	97.04
Episode190	0.0000	2:08:56.0118	60.20	58.76
Episode191	0.0000	1:40:11.9600	79.33	78.74
Episode192	0.0000	1:05:09.7340	77.32	76.55
Episode193	0.0000	2:34:56.7308	74.60	73.93
Episode194	0.0000	2:06:16.5755	81.91	81.21
Episode195	0.0000	1:35:44.6705	88.43	88.05
Episode196	0.0000	1:36:48.6605	95.82	95.93
Episode197	0.0000	1:54:19.4289	96.53	96.81
Episode198	0.0000	2:14:19.7899	75.13	74.30
Episode199	0.0000	1:31:00.5489	80.00	79.46
Episode200	0.0000	1:07:20.3203	53.98	52.19
Episode201	0.0000	1:24:06.0425	90.53	90.53
Episode202	0.0000	2:17:25.4430	82.79	82.32
Episode203	0.0000	1:35:06.8135	63.70	62.57
Episode204	0.0000	1:47:55.4664	70.12	69.09
Episode205	0.0000	2:55:36.1090	83.95	83.31
Episode206	0.0000	1:32:37.6891	118.18	119.07
Episode207	0.0000	1:25:08.4185	76.89	76.26
Episode208	0.0000	3:43:19.4774	113.84	114.20
Episode209	0.0000	1:58:12.1634	76.76	76.02
Episode210	0.0000	2:59:23.6459	102.71	102.86
Episode211	0.0000	1:52:41.4283	85.31	84.95
Episode212	0.0000	1:26:41.3798	68.36	67.19
Episode213	0.0000	1:37:43.9508	98.89	99.03
Episode214	0.0000	2:38:11.5747	113.91	114.72
Episode215	0.0000	2:05:23.4237	81.67	81.20
Episode216	0.0000	2:03:01.4836	82.91	82.31
Episode217	0.0000	2:03:01.9147	77.96	77.15
Episode218	0.0000	1:22:12.3197	79.84	79.06
Episode219	0.0000	1:43:39.5483	70.19	69.22
Episode220	0.0000	2:25:59.0771	86.83	86.57
Episode221	0.0000	1:10:32.5361	62.78	61.46
Episode222	0.0000	2:21:44.2153	86.85	86.52
Episode223	0.0000	3:08:38.7911	120.07	121.32
Episode224	0.0000	2:07:48.8256	71.61	70.74
Episode225	0.0000	2:43:11.9671	129.67	131.15
Episode226	0.0000	3:46:00.9613	138.80	140.49
Episode227	0.0000	57:51.1647	66.05	64.78
Episode228	0.0000	1:07:06.0621	72.31	71.29
Episode229	0.0000	2:13:38.2644	89.78	89.52
Episode230	0.0000	1:55:33.7457	87.90	87.49
Episode231	0.0000	2:00:40.5288	73.84	73.08
Episode232	0.0000	2:03:27.0220	105.34	105.69
Episode233	0.0000	1:56:51.0206	78.85	78.26
